Count of kepoi_name,Column Labels,,,,,,
Row Labels,CANDIDATE,CONFIRMED,FALSE POSITIVE,Grand Total,,temp,fraction
0.047,,,1,1,,0.047,#REF!
0.114,1,,,1,,0.114,#REF!
0.236,1,,,1,,0.236,#REF!
0.25,,,1,1,,0.25,#REF!
0.269,,,1,1,,0.269,#REF!
0.273,,,1,1,,0.273,#REF!
0.452,,,1,1,,0.452,#REF!
0.5,,,1,1,,0.5,#REF!
0.65,,,1,1,,0.65,#REF!
0.652,1,,,1,,0.652,#REF!
0.679,,,1,1,,0.679,#REF!
0.684,,,1,1,,0.684,#REF!
0.76,,,1,1,,0.76,#REF!
0.798,,,1,1,,0.798,#REF!
0.829,,,1,1,,0.829,#REF!
0.833,1,,,1,,0.833,#REF!
0.851,,,1,1,,0.851,#REF!
0.892,,,1,1,,0.892,#REF!
0.93,,,1,1,,0.93,#REF!
0.949,,,1,1,,0.949,#REF!
1.056,,,1,1,,1.056,#REF!
1.06,,,1,1,,1.06,#REF!
1.101,,,1,1,,1.101,#REF!
1.173,,,1,1,,1.173,#REF!
1.338,,,1,1,,1.338,#REF!
1.392,,,1,1,,1.392,#REF!
1.458,,,1,1,,1.458,#REF!
1.461,,,1,1,,1.461,#REF!
1.464,,,1,1,,1.464,#REF!
1.541,,,1,1,,1.541,#REF!
1.549,,,1,1,,1.549,#REF!
1.603,,,2,2,,1.603,#REF!
1.627,,,1,1,,1.627,#REF!
1.656,,,1,1,,1.656,#REF!
1.663,,,1,1,,1.663,#REF!
1.672,,,1,1,,1.672,#REF!
1.694,,,1,1,,1.694,#REF!
1.786,,,1,1,,1.786,#REF!
2.012,1,,,1,,2.012,#REF!
2.031,,,1,1,,2.031,#REF!
2.099,,,1,1,,2.099,#REF!
2.113,1,,,1,,2.113,#REF!
2.137,,,1,1,,2.137,#REF!
2.178,,,1,1,,2.178,#REF!
2.194,,,1,1,,2.194,#REF!
2.204,,,2,2,,2.204,#REF!
2.232,,,1,1,,2.232,#REF!
2.28,1,,,1,,2.28,#REF!
2.319,,,1,1,,2.319,#REF!
2.321,,,1,1,,2.321,#REF!
2.329,,,1,1,,2.329,#REF!
2.332,1,,,1,,2.332,#REF!
2.34,,,1,1,,2.34,#REF!
2.346,,,1,1,,2.346,#REF!
2.352,,,1,1,,2.352,#REF!
2.354,,,1,1,,2.354,#REF!
2.356,,,1,1,,2.356,#REF!
2.373,,,1,1,,2.373,#REF!
2.386,,,1,1,,2.386,#REF!
2.391,,,1,1,,2.391,#REF!
2.394,,,1,1,,2.394,#REF!
2.399,,,1,1,,2.399,#REF!
2.41,,1,1,2,,2.41,#REF!
2.412,,,1,1,,2.412,#REF!
2.42,,,1,1,,2.42,#REF!
2.422,,,1,1,,2.422,#REF!
2.425,,,1,1,,2.425,#REF!
2.435,3,,1,4,,2.435,#REF!
2.437,,,2,2,,2.437,#REF!
2.439,,,1,1,,2.439,#REF!
2.442,1,,,1,,2.442,#REF!
2.445,,,1,1,,2.445,#REF!
2.454,,,1,1,,2.454,#REF!
2.464,,,1,1,,2.464,#REF!
2.471,,,1,1,,2.471,#REF!
2.472,,,1,1,,2.472,#REF!
2.475,,,1,1,,2.475,#REF!
2.481,1,,,1,,2.481,#REF!
2.486,,,2,2,,2.486,#REF!
2.494,,,1,1,,2.494,#REF!
2.497,,,1,1,,2.497,#REF!
2.501,,,1,1,,2.501,#REF!
2.504,,,1,1,,2.504,#REF!
2.51,,,1,1,,2.51,#REF!
2.52,2,,,2,,2.52,#REF!
2.524,1,,,1,,2.524,#REF!
2.56,,,1,1,,2.56,#REF!
2.562,,,1,1,,2.562,#REF!
2.564,,,1,1,,2.564,#REF!
2.566,,,1,1,,2.566,#REF!
2.569,,,1,1,,2.569,#REF!
2.572,,,1,1,,2.572,#REF!
2.577,1,,,1,,2.577,#REF!
2.583,,,1,1,,2.583,#REF!
2.587,,,1,1,,2.587,#REF!
2.592,,,1,1,,2.592,#REF!
2.595,,,1,1,,2.595,#REF!
2.605,1,,2,3,,2.605,#REF!
2.608,,,1,1,,2.608,#REF!
2.609,1,,,1,,2.609,#REF!
2.613,,,1,1,,2.613,#REF!
2.619,,,1,1,,2.619,#REF!
2.629,,,1,1,,2.629,#REF!
2.631,,,1,1,,2.631,#REF!
2.632,,,1,1,,2.632,#REF!
2.633,,,1,1,,2.633,#REF!
2.635,,,1,1,,2.635,#REF!
2.638,,,1,1,,2.638,#REF!
2.644,,,1,1,,2.644,#REF!
2.645,,,1,1,,2.645,#REF!
2.66,,,1,1,,2.66,#REF!
2.662,,,1,1,,2.662,#REF!
2.667,,,1,1,,2.667,#REF!
2.674,,,1,1,,2.674,#REF!
2.681,,,1,1,,2.681,#REF!
2.682,,,1,1,,2.682,#REF!
2.685,,,1,1,,2.685,#REF!
2.693,1,,,1,,2.693,#REF!
2.697,,,1,1,,2.697,#REF!
2.706,,,1,1,,2.706,#REF!
2.708,,,1,1,,2.708,#REF!
2.711,,,1,1,,2.711,#REF!
2.715,,,1,1,,2.715,#REF!
2.737,,,2,2,,2.737,#REF!
2.745,,,1,1,,2.745,#REF!
2.754,,,1,1,,2.754,#REF!
2.756,,,1,1,,2.756,#REF!
2.759,,,1,1,,2.759,#REF!
2.761,,,1,1,,2.761,#REF!
2.766,,,1,1,,2.766,#REF!
2.77,,,1,1,,2.77,#REF!
2.777,,,1,1,,2.777,#REF!
2.78,,,1,1,,2.78,#REF!
2.781,,,1,1,,2.781,#REF!
2.782,,,2,2,,2.782,#REF!
2.783,1,,,1,,2.783,#REF!
2.795,,,1,1,,2.795,#REF!
2.81,,,1,1,,2.81,#REF!
2.816,,,2,2,,2.816,#REF!
2.819,,,1,1,,2.819,#REF!
2.827,,,1,1,,2.827,#REF!
2.839,,,1,1,,2.839,#REF!
2.843,,,1,1,,2.843,#REF!
2.863,1,,,1,,2.863,#REF!
2.865,,,1,1,,2.865,#REF!
2.871,,,1,1,,2.871,#REF!
2.877,1,,,1,,2.877,#REF!
2.882,,,1,1,,2.882,#REF!
2.886,,,1,1,,2.886,#REF!
2.889,,,1,1,,2.889,#REF!
2.896,,,1,1,,2.896,#REF!
2.897,1,,3,4,,2.897,#REF!
2.899,,,1,1,,2.899,#REF!
2.9,,,1,1,,2.9,#REF!
2.909,,,2,2,,2.909,#REF!
2.919,,,1,1,,2.919,#REF!
2.92,,,1,1,,2.92,#REF!
2.921,,,1,1,,2.921,#REF!
2.929,,,1,1,,2.929,#REF!
2.932,,,1,1,,2.932,#REF!
2.933,1,,,1,,2.933,#REF!
2.936,,2,1,3,,2.936,#REF!
2.942,1,,,1,,2.942,#REF!
2.945,1,,,1,,2.945,#REF!
2.947,1,,,1,,2.947,#REF!
2.953,,,1,1,,2.953,#REF!
2.955,,,1,1,,2.955,#REF!
2.961,,,1,1,,2.961,#REF!
2.966,,,1,1,,2.966,#REF!
2.967,,,1,1,,2.967,#REF!
2.968,,,1,1,,2.968,#REF!
2.977,,,1,1,,2.977,#REF!
2.978,1,,1,2,,2.978,#REF!
2.979,,,1,1,,2.979,#REF!
2.982,1,,,1,,2.982,#REF!
2.984,,,1,1,,2.984,#REF!
2.986,,,1,1,,2.986,#REF!
2.987,,,1,1,,2.987,#REF!
2.988,,,1,1,,2.988,#REF!
2.989,,,1,1,,2.989,#REF!
2.99,1,,,1,,2.99,#REF!
2.992,,,1,1,,2.992,#REF!
2.996,,,1,1,,2.996,#REF!
3.001,,,1,1,,3.001,#REF!
3.002,,,2,2,,3.002,#REF!
3.006,1,,,1,,3.006,#REF!
3.007,,,2,2,,3.007,#REF!
3.008,1,,,1,,3.008,#REF!
3.009,,,1,1,,3.009,#REF!
3.01,1,,,1,,3.01,#REF!
3.013,,,1,1,,3.013,#REF!
3.02,1,,1,2,,3.02,#REF!
3.021,1,,,1,,3.021,#REF!
3.031,,,1,1,,3.031,#REF!
3.038,,,1,1,,3.038,#REF!
3.042,,,2,2,,3.042,#REF!
3.05,1,,,1,,3.05,#REF!
3.055,,,1,1,,3.055,#REF!
3.056,,,1,1,,3.056,#REF!
3.058,,,1,1,,3.058,#REF!
3.06,,,2,2,,3.06,#REF!
3.063,,,1,1,,3.063,#REF!
3.066,1,,,1,,3.066,#REF!
3.073,,,1,1,,3.073,#REF!
3.08,,,1,1,,3.08,#REF!
3.088,,,1,1,,3.088,#REF!
3.091,,,1,1,,3.091,#REF!
3.092,,1,1,2,,3.092,#REF!
3.094,,,1,1,,3.094,#REF!
3.106,,,1,1,,3.106,#REF!
3.109,,,2,2,,3.109,#REF!
3.112,,,1,1,,3.112,#REF!
3.117,1,,,1,,3.117,#REF!
3.118,1,,,1,,3.118,#REF!
3.12,,,2,2,,3.12,#REF!
3.122,,,1,1,,3.122,#REF!
3.125,,,1,1,,3.125,#REF!
3.126,1,,,1,,3.126,#REF!
3.13,,,2,2,,3.13,#REF!
3.131,1,,,1,,3.131,#REF!
3.134,,,1,1,,3.134,#REF!
3.136,,,2,2,,3.136,#REF!
3.137,,,1,1,,3.137,#REF!
3.15,,,1,1,,3.15,#REF!
3.155,,,1,1,,3.155,#REF!
3.158,,,1,1,,3.158,#REF!
3.159,,,1,1,,3.159,#REF!
3.166,1,,,1,,3.166,#REF!
3.167,,,2,2,,3.167,#REF!
3.169,,,1,1,,3.169,#REF!
3.17,,,1,1,,3.17,#REF!
3.172,1,,,1,,3.172,#REF!
3.18,,,2,2,,3.18,#REF!
3.183,,,1,1,,3.183,#REF!
3.184,1,,,1,,3.184,#REF!
3.192,,,1,1,,3.192,#REF!
3.193,,,2,2,,3.193,#REF!
3.208,,,1,1,,3.208,#REF!
3.209,1,,,1,,3.209,#REF!
3.211,,,1,1,,3.211,#REF!
3.212,,,1,1,,3.212,#REF!
3.216,1,,2,3,,3.216,#REF!
3.22,,,1,1,,3.22,#REF!
3.222,,,1,1,,3.222,#REF!
3.227,,,1,1,,3.227,#REF!
3.228,1,,,1,,3.228,#REF!
3.237,1,,,1,,3.237,#REF!
3.241,,,1,1,,3.241,#REF!
3.243,1,,,1,,3.243,#REF!
3.25,1,,,1,,3.25,#REF!
3.252,1,,,1,,3.252,#REF!
3.257,1,,,1,,3.257,#REF!
3.267,,,1,1,,3.267,#REF!
3.273,1,,,1,,3.273,#REF!
3.276,,,1,1,,3.276,#REF!
3.277,,,1,1,,3.277,#REF!
3.279,,,1,1,,3.279,#REF!
3.282,1,,,1,,3.282,#REF!
3.284,,,1,1,,3.284,#REF!
3.286,,,1,1,,3.286,#REF!
3.287,,,1,1,,3.287,#REF!
3.289,,,1,1,,3.289,#REF!
3.291,,,1,1,,3.291,#REF!
3.295,1,,,1,,3.295,#REF!
3.298,1,,,1,,3.298,#REF!
3.299,,2,1,3,,3.299,#REF!
3.3,,,2,2,,3.3,#REF!
3.301,,,1,1,,3.301,#REF!
3.303,,,1,1,,3.303,#REF!
3.311,,,1,1,,3.311,#REF!
3.314,,,1,1,,3.314,#REF!
3.315,1,,,1,,3.315,#REF!
3.317,,3,,3,,3.317,#REF!
3.321,2,,2,4,,3.321,#REF!
3.327,1,,,1,,3.327,#REF!
3.331,,1,,1,,3.331,#REF!
3.338,,,1,1,,3.338,#REF!
3.339,,,1,1,,3.339,#REF!
3.34,,,1,1,,3.34,#REF!
3.344,,,1,1,,3.344,#REF!
3.349,1,,,1,,3.349,#REF!
3.35,,,1,1,,3.35,#REF!
3.352,1,,,1,,3.352,#REF!
3.353,,,1,1,,3.353,#REF!
3.354,,,1,1,,3.354,#REF!
3.356,,1,,1,,3.356,#REF!
3.358,,1,,1,,3.358,#REF!
3.364,,,1,1,,3.364,#REF!
3.365,1,,,1,,3.365,#REF!
3.368,,,2,2,,3.368,#REF!
3.373,,,1,1,,3.373,#REF!
3.38,1,,,1,,3.38,#REF!
3.388,,,1,1,,3.388,#REF!
3.402,1,,,1,,3.402,#REF!
3.404,1,,1,2,,3.404,#REF!
3.408,,,1,1,,3.408,#REF!
3.409,1,,,1,,3.409,#REF!
3.414,,,1,1,,3.414,#REF!
3.416,,,1,1,,3.416,#REF!
3.417,,,1,1,,3.417,#REF!
3.42,,,1,1,,3.42,#REF!
3.421,,,1,1,,3.421,#REF!
3.424,,,3,3,,3.424,#REF!
3.428,,,1,1,,3.428,#REF!
3.429,1,,,1,,3.429,#REF!
3.432,,,1,1,,3.432,#REF!
3.433,1,1,,2,,3.433,#REF!
3.436,1,,,1,,3.436,#REF!
3.439,,,1,1,,3.439,#REF!
3.442,,,1,1,,3.442,#REF!
3.443,,,1,1,,3.443,#REF!
3.447,1,,,1,,3.447,#REF!
3.449,,,1,1,,3.449,#REF!
3.45,,2,,2,,3.45,#REF!
3.453,,,1,1,,3.453,#REF!
3.456,1,,,1,,3.456,#REF!
3.458,1,,,1,,3.458,#REF!
3.459,,,2,2,,3.459,#REF!
3.461,,,1,1,,3.461,#REF!
3.462,,1,1,2,,3.462,#REF!
3.465,2,,,2,,3.465,#REF!
3.466,,,2,2,,3.466,#REF!
3.469,,,1,1,,3.469,#REF!
3.47,1,,,1,,3.47,#REF!
3.471,,,1,1,,3.471,#REF!
3.475,,1,1,2,,3.475,#REF!
3.476,,,1,1,,3.476,#REF!
3.479,,,1,1,,3.479,#REF!
3.48,,,2,2,,3.48,#REF!
3.484,,,1,1,,3.484,#REF!
3.488,1,,2,3,,3.488,#REF!
3.489,1,,,1,,3.489,#REF!
3.49,1,,,1,,3.49,#REF!
3.491,,,2,2,,3.491,#REF!
3.493,,,1,1,,3.493,#REF!
3.495,,,1,1,,3.495,#REF!
3.497,,,2,2,,3.497,#REF!
3.499,2,1,,3,,3.499,#REF!
3.501,,,1,1,,3.501,#REF!
3.502,,,2,2,,3.502,#REF!
3.506,,,2,2,,3.506,#REF!
3.508,,,1,1,,3.508,#REF!
3.509,1,,,1,,3.509,#REF!
3.511,1,,1,2,,3.511,#REF!
3.515,,,2,2,,3.515,#REF!
3.516,,,1,1,,3.516,#REF!
3.52,,,2,2,,3.52,#REF!
3.521,,,1,1,,3.521,#REF!
3.523,1,,,1,,3.523,#REF!
3.53,,,1,1,,3.53,#REF!
3.531,,,1,1,,3.531,#REF!
3.534,1,,3,4,,3.534,#REF!
3.535,,,1,1,,3.535,#REF!
3.538,,1,,1,,3.538,#REF!
3.541,,,2,2,,3.541,#REF!
3.542,,,1,1,,3.542,#REF!
3.55,,,1,1,,3.55,#REF!
3.551,1,,,1,,3.551,#REF!
3.556,1,,,1,,3.556,#REF!
3.558,,,1,1,,3.558,#REF!
3.559,2,,,2,,3.559,#REF!
3.562,1,,1,2,,3.562,#REF!
3.565,1,,,1,,3.565,#REF!
3.566,,,1,1,,3.566,#REF!
3.568,,,2,2,,3.568,#REF!
3.57,1,,,1,,3.57,#REF!
3.573,,,1,1,,3.573,#REF!
3.577,,,1,1,,3.577,#REF!
3.578,1,,1,2,,3.578,#REF!
3.579,,,1,1,,3.579,#REF!
3.58,,,2,2,,3.58,#REF!
3.581,,,1,1,,3.581,#REF!
3.586,,,1,1,,3.586,#REF!
3.588,1,,,1,,3.588,#REF!
3.591,1,1,,2,,3.591,#REF!
3.592,,,1,1,,3.592,#REF!
3.593,,,1,1,,3.593,#REF!
3.594,,,3,3,,3.594,#REF!
3.595,,1,3,4,,3.595,#REF!
3.597,1,,2,3,,3.597,#REF!
3.598,,,1,1,,3.598,#REF!
3.599,1,,,1,,3.599,#REF!
3.6,,,2,2,,3.6,#REF!
3.602,1,,1,2,,3.602,#REF!
3.603,,,1,1,,3.603,#REF!
3.604,1,,1,2,,3.604,#REF!
3.606,,,2,2,,3.606,#REF!
3.607,,,1,1,,3.607,#REF!
3.611,1,,2,3,,3.611,#REF!
3.613,,,1,1,,3.613,#REF!
3.614,,,1,1,,3.614,#REF!
3.615,,,1,1,,3.615,#REF!
3.616,1,,1,2,,3.616,#REF!
3.617,1,,2,3,,3.617,#REF!
3.619,,,2,2,,3.619,#REF!
3.62,,2,,2,,3.62,#REF!
3.621,,,1,1,,3.621,#REF!
3.622,,,1,1,,3.622,#REF!
3.623,1,,,1,,3.623,#REF!
3.624,,,1,1,,3.624,#REF!
3.626,,1,,1,,3.626,#REF!
3.627,2,,,2,,3.627,#REF!
3.628,1,,,1,,3.628,#REF!
3.629,,1,1,2,,3.629,#REF!
3.63,1,,,1,,3.63,#REF!
3.631,1,,2,3,,3.631,#REF!
3.632,,,1,1,,3.632,#REF!
3.633,1,,2,3,,3.633,#REF!
3.634,1,,,1,,3.634,#REF!
3.635,1,,,1,,3.635,#REF!
3.636,,,1,1,,3.636,#REF!
3.637,1,,,1,,3.637,#REF!
3.638,,,1,1,,3.638,#REF!
3.639,,,5,5,,3.639,#REF!
3.641,1,,1,2,,3.641,#REF!
3.642,,,1,1,,3.642,#REF!
3.643,,,2,2,,3.643,#REF!
3.644,,,2,2,,3.644,#REF!
3.645,,1,1,2,,3.645,#REF!
3.646,,,1,1,,3.646,#REF!
3.647,,,1,1,,3.647,#REF!
3.648,1,,1,2,,3.648,#REF!
3.65,,,4,4,,3.65,#REF!
3.651,,,1,1,,3.651,#REF!
3.655,,,1,1,,3.655,#REF!
3.657,1,1,1,3,,3.657,#REF!
3.658,,,2,2,,3.658,#REF!
3.659,,,1,1,,3.659,#REF!
3.661,,,1,1,,3.661,#REF!
3.663,,,1,1,,3.663,#REF!
3.664,2,,1,3,,3.664,#REF!
3.665,,,1,1,,3.665,#REF!
3.666,,,1,1,,3.666,#REF!
3.667,1,,3,4,,3.667,#REF!
3.668,,,3,3,,3.668,#REF!
3.669,1,,2,3,,3.669,#REF!
3.67,,,1,1,,3.67,#REF!
3.672,,,2,2,,3.672,#REF!
3.674,,,1,1,,3.674,#REF!
3.675,1,,2,3,,3.675,#REF!
3.676,,,2,2,,3.676,#REF!
3.678,1,,3,4,,3.678,#REF!
3.679,1,,2,3,,3.679,#REF!
3.68,1,,1,2,,3.68,#REF!
3.681,,,1,1,,3.681,#REF!
3.682,1,,,1,,3.682,#REF!
3.683,,1,,1,,3.683,#REF!
3.684,,,1,1,,3.684,#REF!
3.685,1,,1,2,,3.685,#REF!
3.686,,,1,1,,3.686,#REF!
3.688,,,2,2,,3.688,#REF!
3.689,,,1,1,,3.689,#REF!
3.69,,,1,1,,3.69,#REF!
3.693,1,,1,2,,3.693,#REF!
3.696,,,1,1,,3.696,#REF!
3.698,,1,2,3,,3.698,#REF!
3.699,1,,1,2,,3.699,#REF!
3.703,,,2,2,,3.703,#REF!
3.704,,,2,2,,3.704,#REF!
3.705,,,1,1,,3.705,#REF!
3.706,,,2,2,,3.706,#REF!
3.707,,,2,2,,3.707,#REF!
3.708,,,1,1,,3.708,#REF!
3.711,,,2,2,,3.711,#REF!
3.712,1,,1,2,,3.712,#REF!
3.714,,,2,2,,3.714,#REF!
3.715,,,2,2,,3.715,#REF!
3.716,,,1,1,,3.716,#REF!
3.717,,,2,2,,3.717,#REF!
3.718,1,,1,2,,3.718,#REF!
3.72,,,3,3,,3.72,#REF!
3.721,,,1,1,,3.721,#REF!
3.722,,,1,1,,3.722,#REF!
3.724,,,2,2,,3.724,#REF!
3.725,1,,1,2,,3.725,#REF!
3.726,,,2,2,,3.726,#REF!
3.728,,1,3,4,,3.728,#REF!
3.729,,,2,2,,3.729,#REF!
3.73,,,1,1,,3.73,#REF!
3.731,,,3,3,,3.731,#REF!
3.732,1,,,1,,3.732,#REF!
3.733,1,,,1,,3.733,#REF!
3.735,1,,1,2,,3.735,#REF!
3.736,,,1,1,,3.736,#REF!
3.737,,,1,1,,3.737,#REF!
3.738,,,2,2,,3.738,#REF!
3.739,,,2,2,,3.739,#REF!
3.74,,2,1,3,,3.74,#REF!
3.741,,1,1,2,,3.741,#REF!
3.742,1,,,1,,3.742,#REF!
3.743,,,1,1,,3.743,#REF!
3.744,,,1,1,,3.744,#REF!
3.745,1,1,,2,,3.745,#REF!
3.747,,,1,1,,3.747,#REF!
3.748,,,3,3,,3.748,#REF!
3.75,,,1,1,,3.75,#REF!
3.751,1,,,1,,3.751,#REF!
3.753,,,2,2,,3.753,#REF!
3.754,1,,2,3,,3.754,#REF!
3.755,2,,1,3,,3.755,#REF!
3.757,1,,1,2,,3.757,#REF!
3.759,1,,2,3,,3.759,#REF!
3.76,3,,1,4,,3.76,#REF!
3.761,,,1,1,,3.761,#REF!
3.762,1,,,1,,3.762,#REF!
3.763,,,1,1,,3.763,#REF!
3.764,3,,,3,,3.764,#REF!
3.765,1,,1,2,,3.765,#REF!
3.766,2,,1,3,,3.766,#REF!
3.768,2,,1,3,,3.768,#REF!
3.769,,1,1,2,,3.769,#REF!
3.771,,,1,1,,3.771,#REF!
3.772,1,,1,2,,3.772,#REF!
3.773,,,3,3,,3.773,#REF!
3.774,1,,,1,,3.774,#REF!
3.775,1,,1,2,,3.775,#REF!
3.776,,,3,3,,3.776,#REF!
3.777,,,1,1,,3.777,#REF!
3.778,,,2,2,,3.778,#REF!
3.779,1,,1,2,,3.779,#REF!
3.78,1,,2,3,,3.78,#REF!
3.781,,,2,2,,3.781,#REF!
3.782,,,2,2,,3.782,#REF!
3.783,,2,3,5,,3.783,#REF!
3.784,,,1,1,,3.784,#REF!
3.787,2,,4,6,,3.787,#REF!
3.788,1,,2,3,,3.788,#REF!
