Date and time      ,Julian Day   ,RA (J2000),Dec (J2000),mag,phase,"dist., AU",elong.
2018-02-03 14:02:00, 2458153.20972,   11h52m27.5s, +4°48'50.4", -11.86, 87.26%, 0.002532, +138°04'59.6"
2018-02-03 20:02:00, 2458153.45972,   12h10m20.3s, +3°40'02.5", -11.77, 84.64%, 0.002538, +133°44'50.6"
2018-02-04 02:02:00, 2458153.70972,   12h23m14.6s, +2°33'56.1", -11.78, 82.61%, 0.002495, +130°35'50.5"
2018-02-04 08:02:00, 2458153.95972,   12h31m07.0s, +1°23'31.6", -11.76, 81.27%, 0.002503, +128°36'17.1"
2018-02-04 14:02:00, 2458154.20972,   12h43m22.8s, +0°13'14.5", -11.59, 79.17%, 0.002566, +125°34'24.6"
2018-02-04 20:02:00, 2458154.45972,   13h00m38.3s, -0°54'40.4", -11.57, 76.13%, 0.002584, +121°22'48.6"
2018-02-05 02:02:00, 2458154.70972,   13h14m03.4s, -2°04'22.5", -11.48, 73.64%, 0.002541, +118°05'07.7"
2018-02-05 08:02:00, 2458154.95972,   13h21m44.1s, -3°12'46.9", -11.55, 72.14%, 0.002538, +116°09'06.3"
2018-02-05 14:02:00, 2458155.20972,   13h32m41.5s, -4°14'07.5", -11.20, 70.04%, 0.002599, +113°29'01.3"
2018-02-05 20:02:00, 2458155.45972,   13h49m21.7s, -5°15'58.1", -11.32, 66.79%, 0.002627, +109°28'18.5"
2018-02-06 02:02:00, 2458155.70972,   14h03m23.3s, -6°25'23.6", -11.10, 63.95%, 0.002587, +106°03'04.0"
2018-02-06 08:02:00, 2458155.95972,   14h11m12.1s, -7°31'01.8", -11.28, 62.32%, 0.002574, +104°07'13.4"
2018-02-06 14:02:00, 2458156.20972,   14h21m06.5s, -8°22'07.9", -10.33, 60.33%, 0.002629, +101°46'26.5"
2018-02-06 20:02:00, 2458156.45972,   14h37m13.9s, -9°13'59.3", -11.02, 57.06%, 0.002665, +97°57'56.8"
2018-02-07 02:02:00, 2458156.70972,   14h51m56.4s, -10°19'20.6", -10.55, 54.00%, 0.002629, +94°26'11.2"
2018-02-07 08:02:00, 2458156.95972,   15h00m10.9s, -11°21'22.0", -10.96, 52.28%, 0.002606, +92°27'27.1"
2018-02-07 14:02:00, 2458157.20972,   15h09m16.3s, -12°02'00.2", -7.25, 50.47%, 0.002654, +90°22'52.8"
2018-02-07 20:02:00, 2458157.45972,   15h24m51.9s, -12°41'07.2", -10.67, 47.33%, 0.002696, +86°47'10.4"
2018-02-08 02:02:00, 2458157.70972,   15h40m17.5s, -13°38'46.7", -9.19, 44.18%, 0.002665, +83°09'50.4"
2018-02-08 08:02:00, 2458157.95972,   15h49m12.8s, -14°35'59.5", -10.59, 42.39%, 0.002633, +81°05'29.7"
2018-02-08 14:02:00, 2458158.20972,   15h57m41.8s, -15°06'31.3", -9.98, 40.79%, 0.002672, +79°13'45.1"
2018-02-08 20:02:00, 2458158.45972,   16h12m44.2s, -15°31'08.8", -10.27, 37.91%, 0.002718, +75°50'53.5"
2018-02-09 02:02:00, 2458158.70972,   16h28m51.9s, -16°17'45.0", -6.95, 34.80%, 0.002694, +72°08'52.6"
2018-02-09 08:02:00, 2458158.95972,   16h38m39.8s, -17°08'29.9", -10.14, 32.97%, 0.002654, +69°56'34.8"
2018-02-09 14:02:00, 2458159.20972,   16h46m43.7s, -17°29'28.6", -9.84, 31.58%, 0.002682, +68°14'11.4"
2018-02-09 20:02:00, 2458159.45972,   17h01m09.0s, -17°38'45.5", -9.79, 29.03%, 0.002731, +65°03'55.3"
2018-02-10 02:02:00, 2458159.70972,   17h17m53.0s, -18°11'23.1", -9.05, 26.10%, 0.002714, +61°18'08.5"
2018-02-10 08:02:00, 2458159.95972,   17h28m41.6s, -18°53'34.9", -9.61, 24.30%, 0.002669, +58°55'56.7"
2018-02-10 14:02:00, 2458160.20972,   17h36m30.5s, -19°05'30.4", -9.43, 23.10%, 0.002686, +57°19'26.8"
2018-02-10 20:02:00, 2458160.45972,   17h50m12.4s, -18°59'26.4", -9.21, 20.95%, 0.002736, +54°21'20.3"
2018-02-11 02:02:00, 2458160.70972,   18h07m22.1s, -19°15'50.3", -8.81, 18.31%, 0.002727, +50°32'49.4"
2018-02-11 08:02:00, 2458160.95972,   18h19m14.7s, -19°47'09.8", -8.96, 16.61%, 0.002677, +47°59'10.8"
2018-02-11 14:02:00, 2458161.20972,   18h26m57.8s, -19°50'18.8", -8.83, 15.60%, 0.002682, +46°25'11.0"
2018-02-11 20:02:00, 2458161.45972,   18h39m49.1s, -19°29'42.3", -8.47, 13.88%, 0.002732, +43°38'41.6"
2018-02-12 02:02:00, 2458161.70972,   18h57m09.9s, -19°28'34.9", -8.19, 11.65%, 0.002731, +39°48'40.1"
2018-02-12 08:02:00, 2458161.95972,   19h10m04.5s, -19°46'47.8", -8.12, 10.14%, 0.002680, +37°02'29.3"
2018-02-12 14:02:00, 2458162.20972,   19h17m50.4s, -19°41'10.5", -8.02, 9.32%, 0.002673, +35°27'42.0"
2018-02-12 20:02:00, 2458162.45972,   19h29m44.9s, -19°07'33.5", -7.46, 8.05%, 0.002721, +32°52'11.0"
2018-02-13 02:02:00, 2458162.70972,   19h46m59.7s, -18°48'49.1", -7.25, 6.32%, 0.002729, +29°02'06.8"
2018-02-13 08:02:00, 2458162.95972,   20h00m50.1s, -18°52'09.8", -6.95, 5.10%, 0.002678, +26°02'50.4"
2018-02-13 14:02:00, 2458163.20972,   20h08m46.6s, -18°37'31.3", -6.85, 4.49%, 0.002660, +24°24'06.3"
2018-02-13 20:02:00, 2458163.45972,   20h19m40.7s, -17°52'59.0", -5.81, 3.65%, 0.002704, +21°58'44.8"
2018-02-14 02:02:00, 2458163.70972,   20h36m32.8s, -17°17'50.7", -5.79, 2.51%, 0.002721, +18°10'22.8"
2018-02-14 08:02:00, 2458163.95972,   20h51m10.0s, -17°05'23.7", -5.05, 1.71%, 0.002672, +14°58'13.7"
2018-02-14 14:02:00, 2458164.20972,   20h59m24.6s, -16°41'20.0", -4.89, 1.33%, 0.002643, +13°12'38.0"
2018-02-14 20:02:00, 2458164.45972,   21h09m19.1s, -15°48'15.1", -0.63, 0.91%, 0.002683, +10°56'13.8"
2018-02-15 02:02:00, 2458164.70972,   21h25m34.6s, -14°59'09.6", -2.81, 0.40%, 0.002709, +7°11'50.3"
2018-02-15 08:02:00, 2458164.95972,   21h40m49.0s, -14°31'05.4", -0.31, 0.11%, 0.002664, +3°51'15.4"
2018-02-15 14:02:00, 2458165.20972,   21h49m29.2s, -13°57'13.4", 1.18, 0.03%, 0.002625, +2°02'01.8"
2018-02-15 20:02:00, 2458165.45972,   21h58m29.5s, -12°57'57.5", 6.40, 0.00%, 0.002659, +0°37'15.0"
2018-02-16 02:02:00, 2458165.70972,   22h13m59.1s, -11°58'19.5", -0.92, 0.12%, 0.002692, +4°00'22.7"
2018-02-16 08:02:00, 2458165.95972,   22h29m42.7s, -11°16'00.0", 2.32, 0.45%, 0.002653, +7°40'12.6"
2018-02-16 14:02:00, 2458166.20972,   22h38m56.4s, -10°32'10.0", -3.94, 0.73%, 0.002607, +9°47'01.8"
2018-02-16 20:02:00, 2458166.45972,   22h47m12.1s, -9°28'47.8", -4.09, 1.05%, 0.002633, +11°45'13.9"
2018-02-17 02:02:00, 2458166.70972,   23h01m51.5s, -8°22'37.1", -5.30, 1.78%, 0.002672, +15°16'57.6"
2018-02-17 08:02:00, 2458166.95972,   23h17m58.7s, -7°28'32.8", -5.37, 2.77%, 0.002641, +19°07'08.4"
2018-02-17 14:02:00, 2458167.20972,   23h27m55.0s, -6°35'01.8", -6.50, 3.49%, 0.002588, +21°29'09.7"
2018-02-17 20:02:00, 2458167.45972,   23h35m38.9s, -5°29'11.9", -6.55, 4.13%, 0.002605, +23°23'36.1"
2018-02-18 02:02:00, 2458167.70972,   23h49m28.2s, -4°20'39.1", -7.12, 5.39%, 0.002650, +26°46'01.1"
2018-02-18 08:02:00, 2458167.95972,    0h05m56.6s, -3°18'21.1", -7.38, 7.06%, 0.002627, +30°44'45.1"
2018-02-18 14:02:00, 2458168.20972,    0h16m45.5s, -2°16'06.0", -7.91, 8.29%, 0.002571, +33°23'07.7"
2018-02-18 20:02:00, 2458168.45972,    0h24m13.4s, -1°09'00.6", -7.97, 9.21%, 0.002578, +35°15'25.0"
2018-02-19 02:02:00, 2458168.70972,    0h37m16.0s, -0°02'05.7", -8.28, 10.89%, 0.002625, +38°26'59.1"
2018-02-19 08:02:00, 2458168.95972,    0h54m05.4s, +1°04'06.2", -8.55, 13.22%, 0.002612, +42°32'11.7"
2018-02-19 14:02:00, 2458169.20972,    1h05m58.4s, +2°13'15.1", -8.86, 15.00%, 0.002553, +45°28'08.5"
2018-02-19 20:02:00, 2458169.45972,    1h13m27.9s, +3°20'41.6", -8.97, 16.19%, 0.002550, +47°20'56.8"
2018-02-20 02:02:00, 2458169.70972,    1h25m49.4s, +4°22'24.7", -9.11, 18.17%, 0.002598, +50°20'43.5"
2018-02-20 08:02:00, 2458169.95972,    1h43m00.6s, +5°27'34.2", -9.38, 21.05%, 0.002595, +54°30'00.6"
2018-02-20 14:02:00, 2458170.20972,    1h56m10.0s, +6°40'41.3", -9.54, 23.40%, 0.002537, +57°44'15.4"
2018-02-20 20:02:00, 2458170.45972,    2h04m00.9s, +7°47'34.4", -9.72, 24.85%, 0.002522, +59°40'43.4"
2018-02-21 02:02:00, 2458170.70972,    2h15m47.7s, +8°41'07.7", -9.74, 26.99%, 0.002568, +62°28'25.6"
2018-02-21 08:02:00, 2458170.95972,    2h33m20.9s, +9°39'55.4", -10.03, 30.30%, 0.002576, +66°39'11.1"
2018-02-21 14:02:00, 2458171.20972,    2h47m58.5s, +10°52'51.6", -9.95, 33.17%, 0.002521, +70°11'51.7"
2018-02-21 20:02:00, 2458171.45972,    2h56m31.8s, +11°57'53.0", -10.32, 34.88%, 0.002496, +72°15'24.4"
2018-02-22 02:02:00, 2458171.70972,    3h07m50.5s, +12°40'57.5", -10.17, 37.06%, 0.002538, +74°51'29.0"
2018-02-22 08:02:00, 2458171.95972,    3h25m42.5s, +13°28'00.0", -10.56, 40.60%, 0.002556, +79°00'58.8"
2018-02-22 14:02:00, 2458172.20972,    3h41m56.9s, +14°35'22.0", -9.43, 43.91%, 0.002506, +82°51'29.9"
2018-02-22 20:02:00, 2458172.45972,    3h51m34.0s, +15°36'23.7", -10.81, 45.85%, 0.002471, +85°05'35.1"
2018-02-23 02:02:00, 2458172.70972,    4h02m30.4s, +16°07'19.4", -10.23, 47.96%, 0.002507, +87°31'14.9"
2018-02-23 08:02:00, 2458172.95972,    4h20m31.8s, +16°37'36.1", -10.98, 51.53%, 0.002534, +91°36'38.9"
2018-02-23 14:02:00, 2458173.20972,    4h38m24.3s, +17°33'05.6", -9.80, 55.11%, 0.002492, +95°43'33.8"
2018-02-23 20:02:00, 2458173.45972,    4h49m23.9s, +18°26'51.5", -11.20, 57.24%, 0.002449, +98°11'24.6"
2018-02-24 02:02:00, 2458173.70972,    5h00m02.8s, +18°44'34.1", -4.03, 59.21%, 0.002476, +100°28'37.0"
2018-02-24 08:02:00, 2458173.95972,    5h17m56.0s, +18°54'09.9", -11.34, 62.60%, 0.002511, +104°27'01.5"
2018-02-24 14:02:00, 2458174.20972,    5h37m15.5s, +19°31'19.8", -11.16, 66.22%, 0.002480, +108°47'52.9"
2018-02-24 20:02:00, 2458174.45972,    5h49m49.3s, +20°13'30.3", -11.51, 68.46%, 0.002431, +111°32'05.7"
2018-02-25 02:02:00, 2458174.70972,    6h00m14.0s, +20°17'27.1", -10.91, 70.22%, 0.002449, +113°43'27.1"
2018-02-25 08:02:00, 2458174.95972,    6h17m33.4s, +20°04'23.6", -11.62, 73.21%, 0.002490, +117°32'00.0"
2018-02-25 14:02:00, 2458175.20972,    6h37m54.0s, +20°17'58.1", -11.60, 76.63%, 0.002471, +122°03'12.8"
2018-02-25 20:02:00, 2458175.45972,    6h52m02.2s, +20°43'50.6", -11.74, 78.82%, 0.002419, +125°05'22.1"
2018-02-26 02:02:00, 2458175.70972,    7h02m15.4s, +20°33'56.6", -11.61, 80.33%, 0.002426, +127°13'57.3"
2018-02-26 08:02:00, 2458175.95972,    7h18m31.7s, +19°58'55.7", -11.83, 82.76%, 0.002473, +130°49'58.2"
2018-02-26 14:02:00, 2458176.20972,    7h39m15.2s, +19°46'21.6", -11.88, 85.69%, 0.002467, +135°26'48.6"
2018-02-26 20:02:00, 2458176.45972,    7h54m45.0s, +19°52'04.9", -11.87, 87.66%, 0.002415, +138°47'00.3"
2018-02-27 02:02:00, 2458176.70972,    8h04m49.9s, +19°28'39.7", -11.94, 88.87%, 0.002411, +140°56'05.4"
2018-02-27 08:02:00, 2458176.95972,    8h19m38.6s, +18°35'07.8", -11.96, 90.64%, 0.002460, +144°17'21.8"
2018-02-27 14:02:00, 2458177.20972,    8h40m02.8s, +17°57'36.3", -12.05, 92.85%, 0.002469, +148°54'02.5"
2018-02-27 20:02:00, 2458177.45972,    8h56m32.3s, +17°41'28.7", -11.85, 94.38%, 0.002421, +152°30'21.5"
2018-02-28 02:02:00, 2458177.70972,    9h06m33.8s, +17°05'15.8", -12.13, 95.23%, 0.002406, +154°42'55.9"
2018-02-28 08:02:00, 2458177.95972,    9h19m42.0s, +15°58'35.2", -11.97, 96.31%, 0.002455, +157°48'02.0"
2018-02-28 14:02:00, 2458178.20972,    9h39m11.2s, +15°00'54.7", -12.16, 97.64%, 0.002478, +162°17'23.7"
2018-02-28 20:02:00, 2458178.45972,    9h56m16.8s, +14°24'06.9", -11.34, 98.53%, 0.002436, +166°03'39.8"
2018-03-01 02:02:00, 2458178.70972,   10h06m21.8s, +13°36'15.3", -12.22, 98.97%, 0.002412, +168°20'36.8"
2018-03-01 08:02:00, 2458178.95972,   10h17m50.8s, +12°22'20.8", -11.61, 99.40%, 0.002458, +171°07'47.4"
2018-03-01 14:02:00, 2458179.20972,   10h36m02.6s, +11°11'42.1", -12.19, 99.82%, 0.002495, +175°05'46.4"
2018-03-01 20:02:00, 2458179.45972,   10h53m24.8s, +10°18'05.0", -6.86, 99.93%, 0.002460, +177°00'00.4"
2018-03-02 02:02:00, 2458179.70972,   11h03m42.0s, +9°20'14.5", -12.24, 99.89%, 0.002429, +176°16'30.1"
2018-03-02 08:02:00, 2458179.95972,   11h13m44.3s, +8°04'15.3", -7.86, 99.77%, 0.002470, +174°32'38.0"
2018-03-02 14:02:00, 2458180.20972,   11h30m29.5s, +6°48'28.6", -12.16, 99.34%, 0.002517, +170°40'05.9"
2018-03-02 20:02:00, 2458180.45972,   11h47m55.5s, +5°43'40.5", -11.49, 98.63%, 0.002493, +166°29'54.3"
2018-03-03 02:02:00, 2458180.70972,   11h58m34.4s, +4°38'04.2", -12.18, 98.06%, 0.002456, +163°58'01.9"
2018-03-03 08:02:00, 2458180.95972,   12h07m28.9s, +3°23'43.3", -11.73, 97.51%, 0.002490, +161°48'17.0"
2018-03-03 14:02:00, 2458181.20972,   12h22m48.1s, +2°09'49.6", -12.06, 96.39%, 0.002545, +158°02'52.5"
2018-03-03 20:02:00, 2458181.45972,   12h40m11.1s, +1°00'10.9", -11.77, 94.89%, 0.002532, +153°47'51.5"
2018-03-04 02:02:00, 2458181.70972,   12h51m21.5s, -0°10'25.9", -12.06, 93.78%, 0.002490, +151°03'18.5"
2018-03-04 08:02:00, 2458181.95972,   12h59m28.9s, -1°20'54.5", -11.88, 92.91%, 0.002515, +149°02'39.4"
2018-03-04 14:02:00, 2458182.20972,   13h13m28.3s, -2°27'33.9", -11.90, 91.31%, 0.002576, +145°37'32.7"
2018-03-04 20:02:00, 2458182.45972,   13h30m45.3s, -3°35'55.5", -11.75, 89.13%, 0.002574, +141°24'30.7"
2018-03-05 02:02:00, 2458182.70972,   13h42m35.9s, -4°48'22.0", -11.88, 87.50%, 0.002530, +138°29'40.8"
2018-03-05 08:02:00, 2458182.95972,   13h50m16.9s, -5°53'50.6", -11.81, 86.40%, 0.002545, +136°36'50.0"
2018-03-05 14:02:00, 2458183.20972,   14h03m04.5s, -6°49'47.9", -11.69, 84.52%, 0.002607, +133°32'53.3"
2018-03-05 20:02:00, 2458183.45972,   14h20m13.7s, -7°51'32.5", -11.61, 81.83%, 0.002615, +129°25'08.4"
2018-03-06 02:02:00, 2458183.70972,   14h32m52.2s, -9°02'22.3", -11.65, 79.72%, 0.002571, +126°20'57.7"
2018-03-06 08:02:00, 2458183.95972,   14h40m25.8s, -10°02'18.3", -11.65, 78.44%, 0.002575, +124°32'55.9"
2018-03-06 14:02:00, 2458184.20972,   14h52m09.8s, -10°45'47.5", -11.38, 76.46%, 0.002636, +121°49'13.2"
2018-03-06 20:02:00, 2458184.45972,   15h09m09.1s, -11°36'39.7", -11.42, 73.44%, 0.002654, +117°49'01.4"
2018-03-07 02:02:00, 2458184.70972,   15h22m40.6s, -12°42'20.7", -11.36, 70.93%, 0.002611, +114°36'16.5"
2018-03-07 08:02:00, 2458184.95972,   15h30m24.0s, -13°36'19.2", -11.43, 69.51%, 0.002604, +112°49'47.4"
2018-03-07 14:02:00, 2458185.20972,   15h41m12.1s, -14°06'52.2", -10.85, 67.55%, 0.002660, +110°24'21.3"
2018-03-07 20:02:00, 2458185.45972,   15h57m57.2s, -14°43'45.8", -11.17, 64.37%, 0.002686, +106°33'10.4"
2018-03-08 02:02:00, 2458185.70972,   16h12m23.9s, -15°40'50.8", -10.99, 61.55%, 0.002646, +103°12'32.8"
2018-03-08 08:02:00, 2458185.95972,   16h20m32.1s, -16°28'14.2", -11.16, 60.02%, 0.002628, +101°24'24.2"
2018-03-08 14:02:00, 2458186.20972,   16h30m31.0s, -16°46'15.2", -7.95, 58.16%, 0.002678, +99°14'39.4"
2018-03-08 20:02:00, 2458186.45972,   16h46m55.4s, -17°07'11.9", -10.89, 54.98%, 0.002711, +95°33'19.1"
2018-03-09 02:02:00, 2458186.70972,   17h02m15.5s, -17°52'29.7", -10.44, 51.96%, 0.002675, +92°05'26.5"
2018-03-09 08:02:00, 2458186.95972,   17h11m00.9s, -18°32'17.8", -10.85, 50.32%, 0.002647, +90°12'38.0"
2018-03-09 14:02:00, 2458187.20972,   17h20m16.8s, -18°38'40.1", -9.74, 48.62%, 0.002689, +88°15'37.3"
2018-03-09 20:02:00, 2458187.45972,   17h36m11.5s, -18°42'47.1", -10.55, 45.55%, 0.002727, +84°44'30.7"
2018-03-10 02:02:00, 2458187.70972,   17h52m18.6s, -19°13'34.7", -8.86, 42.45%, 0.002697, +81°09'59.0"
2018-03-10 08:02:00, 2458187.95972,   18h01m50.5s, -19°44'24.0", -10.48, 40.73%, 0.002659, +79°09'45.6"
2018-03-10 14:02:00, 2458188.20972,   18h10m30.0s, -19°40'11.6", -10.07, 39.20%, 0.002691, +77°22'19.8"
2018-03-10 20:02:00, 2458188.45972,   18h25m44.6s, -19°27'37.9", -10.16, 36.37%, 0.002734, +74°01'33.2"
2018-03-11 02:02:00, 2458188.70972,   18h42m28.0s, -19°41'55.2", -8.04, 33.31%, 0.002709, +70°21'01.7"
2018-03-11 08:02:00, 2458188.95972,   18h52m51.9s, -20°02'06.4", -10.04, 31.53%, 0.002665, +68°10'56.0"
2018-03-11 14:02:00, 2458189.20972,   19h01m02.1s, -19°48'19.6", -9.80, 30.17%, 0.002685, +66°29'49.9"
2018-03-11 20:02:00, 2458189.45972,   19h15m26.4s, -19°20'11.3", -9.68, 27.66%, 0.002731, +63°19'20.4"
2018-03-12 02:02:00, 2458189.70972,   19h32m32.5s, -19°16'55.2", -9.12, 24.77%, 0.002714, +59°33'37.9"
2018-03-12 08:02:00, 2458189.95972,   19h43m50.4s, -19°24'47.0", -9.51, 23.00%, 0.002663, +57°11'33.4"
2018-03-12 14:02:00, 2458190.20972,   19h51m39.5s, -19°02'13.2", -9.35, 21.81%, 0.002672, +55°33'28.5"
2018-03-12 20:02:00, 2458190.45972,   20h05m05.3s, -18°20'25.2", -9.10, 19.68%, 0.002719, +52°33'08.8"
2018-03-13 02:02:00, 2458190.70972,   20h22m19.2s, -17°59'39.9", -8.77, 17.09%, 0.002710, +48°43'21.3"
2018-03-13 08:02:00, 2458190.95972,   20h34m30.2s, -17°53'47.4", -8.83, 15.42%, 0.002656, +46°07'38.3"
2018-03-13 14:02:00, 2458191.20972,   20h42m07.7s, -17°22'55.8", -8.72, 14.40%, 0.002653, +44°29'14.7"
2018-03-13 20:02:00, 2458191.45972,   20h54m30.3s, -16°29'59.3", -8.33, 12.70%, 0.002700, +41°38'54.2"
2018-03-14 02:02:00, 2458191.70972,   21h11m37.9s, -15°53'01.5", -8.08, 10.53%, 0.002700, +37°46'34.4"
2018-03-14 08:02:00, 2458191.95972,   21h24m39.4s, -15°32'34.7", -7.93, 9.05%, 0.002644, +34°56'12.5"
2018-03-14 14:02:00, 2458192.20972,   21h32m16.1s, -14°53'37.1", -7.84, 8.22%, 0.002630, +33°14'11.5"
2018-03-14 20:02:00, 2458192.45972,   21h43m35.2s, -13°52'23.5", -7.25, 6.98%, 0.002676, +30°33'35.4"
2018-03-15 02:02:00, 2458192.70972,   22h00m25.2s, -13°01'40.1", -7.04, 5.35%, 0.002684, +26°40'59.4"
2018-03-15 08:02:00, 2458192.95972,   22h14m14.3s, -12°26'41.0", -6.61, 4.20%, 0.002629, +23°36'10.9"
2018-03-15 14:02:00, 2458193.20972,   22h22m02.0s, -11°39'38.5", -6.52, 3.59%, 0.002604, +21°47'25.5"
2018-03-15 20:02:00, 2458193.45972,   22h32m21.8s, -10°33'02.7", -5.47, 2.82%, 0.002647, +19°16'16.6"
2018-03-16 02:02:00, 2458193.70972,   22h48m46.3s, -9°32'01.5", -5.32, 1.82%, 0.002665, +15°27'40.9"
2018-03-16 08:02:00, 2458193.95972,   23h03m20.9s, -8°43'37.0", -4.30, 1.14%, 0.002613, +12°13'03.2"
2018-03-16 14:02:00, 2458194.20972,   23h11m32.3s, -7°48'32.6", -4.11, 0.81%, 0.002578, +10°16'26.6"
2018-03-16 20:02:00, 2458194.45972,   23h21m00.9s, -6°39'17.8", -0.67, 0.48%, 0.002616, +7°56'55.2"
2018-03-17 02:02:00, 2458194.70972,   23h36m55.5s, -5°32'12.6", -1.49, 0.17%, 0.002642, +4°42'37.2"
2018-03-17 08:02:00, 2458194.95972,   23h52m15.1s, -4°32'42.9", 1.08, 0.09%, 0.002597, +3°24'09.5"
2018-03-17 14:02:00, 2458195.20972,    0h01m03.9s, -3°29'58.6", -0.97, 0.12%, 0.002553, +3°53'50.6"
2018-03-17 20:02:00, 2458195.45972,    0h09m52.5s, -2°20'25.4", -0.16, 0.22%, 0.002585, +5°18'14.2"
2018-03-18 02:02:00, 2458195.70972,    0h25m15.7s, -1°11'57.5", -3.55, 0.59%, 0.002619, +8°47'28.5"
2018-03-18 08:02:00, 2458195.95972,    0h41m20.8s, -0°04'57.4", -3.52, 1.21%, 0.002581, +12°36'50.2"
